window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a_occlusion,ci_lo_occlusion,ci_hi_occlusion,p_value_occlusion,effect_size,test,bootstrap_unit,q_value_bh_occlusion,is_primary_window,mean_difference_b_minus_a_ig,ci_lo_ig,ci_hi_ig,p_value_ig,q_value_bh_ig,direction_agrees,both_significant_q05
20,english_fake_minus_real,mid_frac,0.14834765489106114,0.2525759186046352,0.104228263713574,0.0906974272237376,0.11703555707493547,8.248184779150681e-17,1.5227940855641178,Wilcoxon signed-rank + pair bootstrap,pair,2.0620461947876702e-16,True,0.0832110113339567,0.0730335536290091,0.093428748950264,4.961041708265158e-18,2.6346022407731966e-17,True,True
20,english_fake_minus_real,high_frac,0.07124115346484168,0.11494267506220321,0.04370152159736157,0.036952368805372934,0.05100723123293472,5.191257998789323e-15,1.1979329967882273,Wilcoxon signed-rank + pair bootstrap,pair,1.0382515997578646e-14,True,0.0368736187039548,0.0319130628627498,0.0422221225075839,2.8782421504419467e-17,9.594140501473155e-17,True,True
20,english_fake_minus_real,speech_frac,0.9635305988788605,0.999699736237526,0.03616913735866547,0.027315017551183707,0.04635375802218913,1.781293897222056e-17,0.7604337230259717,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17,True,0.0146264320611953,0.0116061565577983,0.017776817291975,4.6102955996912576e-17,1.1525738999228146e-16,True,True
20,english_fake_minus_real,silence_frac,0.0364694084628718,0.00030026362277567385,-0.036169144840096125,-0.046398666183134984,-0.027406583012108972,1.781293897222056e-17,-0.7604339517479742,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17,True,-0.014626432088867,-0.0178648072391836,-0.0115576530840658,8.773719576153225e-17,1.7547439152306452e-16,True,True
20,english_fake_minus_real,gini,0.44705940780356146,0.2911484418630202,-0.15591096594054116,-0.19200327792698282,-0.11941808634564856,2.5519374341677256e-11,-0.8153356585709904,Wilcoxon signed-rank + pair bootstrap,pair,4.253229056946209e-11,True,-0.0493741875822512,-0.0568588321370328,-0.0418240865433064,2.46529261728969e-16,4.1088210288161496e-16,True,True
20,english_fake_minus_real,entropy,15.384860277306734,15.710842770124223,0.3259824928174907,0.22780329662610058,0.42042877522090466,3.4211636510736907e-10,0.65274879149696,Wilcoxon signed-rank + pair bootstrap,pair,4.887376644390987e-10,True,0.3161047592876875,0.2574415424294017,0.3758992347632956,6.818288606892981e-15,9.740412295561401e-15,True,True
20,english_fake_minus_real,topk_1pct,0.03723638823053277,0.045165811582248555,0.007929423351715778,-0.0009826008975402567,0.017809975079541365,0.5202456779483677,0.16287329704340486,Wilcoxon signed-rank + pair bootstrap,pair,0.5202456779483677,True,-0.0198563456438275,-0.0260155089051783,-0.0139470551976915,1.1928664494909585e-08,1.192866449490958e-08,False,False
20,english_fake_minus_real,topk_5pct,0.15343218394263017,0.13601164460391055,-0.017420539338719596,-0.03547169664938269,-0.0004673797253488907,0.0070980586409156495,-0.19450898633545147,Wilcoxon signed-rank + pair bootstrap,pair,0.007886731823239611,True,-0.0417550252161983,-0.0514574524370567,-0.0318219659751086,1.5562528104116398e-11,1.729169789346267e-11,True,True
20,english_fake_minus_real,topk_10pct,0.2701322603064581,0.22515697159233533,-0.04497528871412275,-0.0688702522130097,-0.02160964452940343,8.616690808849393e-05,-0.3655821312889257,Wilcoxon signed-rank + pair bootstrap,pair,0.00010770863511061741,True,-0.052269734161992,-0.0634305327908976,-0.0420855277474575,1.640901559634712e-13,2.0511269495433899e-13,True,True
20,hindi_fake_minus_real,low_frac,0.8307221101648103,0.3871802030614543,-0.4435419071033564,-0.4764245304286795,-0.40634332175012067,1.1485179010089616e-17,-2.4582904049352456,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17,True,-0.4502508106164928,-0.481001740032155,-0.4168322562910063,6.311606041551026e-18,2.3723591790733278e-17,True,True
20,hindi_fake_minus_real,mid_frac,0.12458272498704574,0.33139551408074797,0.20681278909370218,0.18903861149306217,0.22384545953429688,1.5932071996658114e-17,2.2217707764676033,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17,True,0.2207046555565574,0.2042133974095173,0.2358100478365822,7.117077537219983e-18,2.3723591790733278e-17,True,True
20,hindi_fake_minus_real,high_frac,0.04469516484814376,0.28142428285779775,0.23672911800965404,0.21706330846340977,0.25579379746798553,4.139373908714419e-18,2.4030888625526257,Wilcoxon signed-rank + pair bootstrap,pair,4.139373908714419e-17,True,0.2295461550599354,0.21051007007329,0.247642030164693,4.670683307897806e-18,2.3723591790733278e-17,True,True
20,hindi_fake_minus_real,speech_frac,0.9473550945520401,0.9856197887659073,0.03826469421386719,0.026872648209333425,0.04900830882787704,7.665303469903222e-12,0.6790066521584028,Wilcoxon signed-rank + pair bootstrap,pair,1.0950433528433173e-11,True,0.0109964209794998,0.0085166873335838,0.013587280228734,9.921785714890025e-14,1.6536309524816705e-13,True,True
20,hindi_fake_minus_real,silence_frac,0.05264490442350507,0.014380213133990764,-0.038264691289514305,-0.0494085864713561,-0.026966962763370253,7.665303469903222e-12,-0.6790066295246048,Wilcoxon signed-rank + pair bootstrap,pair,1.0950433528433173e-11,True,-0.0109964303769243,-0.0137657468790771,-0.008425664771577,9.921785714890025e-14,1.6536309524816705e-13,True,True
20,hindi_fake_minus_real,gini,0.38950350425340297,0.2396722483652469,-0.14983125588815607,-0.1823370163309232,-0.1181236781479964,1.1003587472747208e-12,-0.8994862837060433,Wilcoxon signed-rank + pair bootstrap,pair,2.2007174945494417e-12,True,-0.0544318834562256,-0.0639852934047412,-0.0446481359660115,1.172097873494792e-14,2.93024468373698e-14,True,True
20,hindi_fake_minus_real,entropy,15.539089251904167,15.798579343092609,0.25949009118844274,0.20098112776181049,0.3219945830328613,9.958027138296739e-13,0.8031571875992052,Wilcoxon signed-rank + pair bootstrap,pair,2.2007174945494417e-12,True,0.2958733953246563,0.2227442059662146,0.3730198916735268,4.3608373720483984e-11,6.229767674354855e-11,True,True
20,hindi_fake_minus_real,topk_1pct,0.034029885600727006,0.028361733849301865,-0.005668151751425135,-0.009924136940904242,-0.001314089620278301,0.0004191532414062229,-0.25278039998541457,Wilcoxon signed-rank + pair bootstrap,pair,0.00041915324140622283,True,-0.0059633025966861,-0.0142153353105716,0.0027980059991455,0.0874792112149572,0.0874792112149572,True,False
20,hindi_fake_minus_real,topk_5pct,0.13716464851689844,0.10725875833906696,-0.02990589017783147,-0.0417104529228626,-0.018068955300519343,1.5338204689520703e-06,-0.5059784949211993,Wilcoxon signed-rank + pair bootstrap,pair,1.7042449655023002e-06,True,-0.0340743475276626,-0.047390244433057,-0.021072959681289,3.5717586754763035e-06,3.968620750529226e-06,True,True
20,hindi_fake_minus_real,topk_10pct,0.24138114938592378,0.18950079646167747,-0.05188035292424626,-0.06815339046916419,-0.03418782934236818,6.60460342547236e-08,-0.5984643797928505,Wilcoxon signed-rank + pair bootstrap,pair,8.25575428184045e-08,True,-0.0518400009514466,-0.0655794001097997,-0.0383394930073447,2.9297813115028217e-10,3.6622266393785277e-10,True,True
