english_row,hindi_row,distance,english_pair_id,hindi_pair_id
767,288,1.1105754034717885,767,288
769,548,1.4024962368418576,769,548
773,524,1.1012636943720986,773,524
774,837,1.4476641298623343,774,837
783,68,1.397008398009067,783,68
784,730,1.3474339608863661,784,730
786,475,1.4929511054101678,786,475
787,1070,0.519837289187849,787,1070
788,1054,1.0136768582139999,788,1054
790,990,1.422218399063837,790,990
793,80,1.4224819582118717,793,80
794,1089,1.4781051712048998,794,1089
796,437,1.3448400238452736,796,437
797,1073,0.5973906069746447,797,1073
800,28,1.236026896638707,800,28
804,1050,1.0794214555087054,804,1050
809,203,1.418423305646049,809,203
816,217,1.484979431904572,816,217
820,428,1.0415872607870025,820,428
821,1040,1.162116494561019,821,1040
825,225,1.3887085612408407,825,225
827,427,1.460912048603556,827,427
829,1066,1.0424349464241955,829,1066
831,248,1.2405786419088796,831,248
834,747,0.5807801131059955,834,747
837,693,0.6435914128836518,837,693
844,290,0.8704111154861606,844,290
848,62,0.906097706237342,848,62
850,777,0.8891435861209456,850,777
851,357,0.8900044573645561,851,357
852,543,1.4278579667861298,852,543
855,1110,1.1208051192357753,855,1110
856,890,1.3468195543723231,856,890
857,1045,0.755046763027743,857,1045
859,169,1.171301453713135,859,169
861,50,1.296143379128026,861,50
862,354,1.4709577709319241,862,354
864,1060,1.3589426833067586,864,1060
866,136,1.2289619387691781,866,136
868,738,1.4538007704872198,868,738
873,812,0.7214373904149874,873,812
876,322,1.446410158733787,876,322
877,1030,0.812335369575641,877,1030
882,466,0.7797830916881592,882,466
887,610,1.3777873649308354,887,610
891,55,1.27702060624166,891,55
893,258,1.2693811962008874,893,258
894,423,0.9842982304754206,894,423
895,631,1.4976143052444912,895,631
896,457,0.9946804315062217,896,457
897,1122,0.6934775165311682,897,1122
899,1093,1.0698511677010745,899,1093
900,244,1.309222945527559,900,244
901,1018,1.4565146144448895,901,1018
902,530,1.1586976677948801,902,530
904,1100,0.95858871171079,904,1100
905,1019,1.4103498980691422,905,1019
906,1109,0.8785697720322672,906,1109
907,1020,1.4908334094507099,907,1020
909,724,1.4403220381237372,909,724
911,1084,1.0171413124528346,911,1084
917,1011,1.4117960688985305,917,1011
919,779,1.3770920496997385,919,779
921,700,1.341515006488593,921,700
926,792,1.4826691569657944,926,792
927,1021,1.285853674509659,927,1021
929,310,0.17294521279434602,929,310
931,418,0.8437566403556535,931,418
932,593,1.3130701480059852,932,593
933,1117,0.6375860249814151,933,1117
937,1007,1.0192498841363475,937,1007
938,889,1.087879947212173,938,889
940,632,0.8512982633578984,940,632
941,685,1.3719535066511286,941,685
942,599,1.483846433657081,942,599
944,1069,0.8988182198973719,944,1069
949,1072,0.7700370458771045,949,1072
950,560,0.3015381556710352,950,560
951,468,1.467725297377132,951,468
955,1108,0.6524023881992163,955,1108
956,568,1.3294021922246302,956,568
957,230,0.942413600237722,957,230
963,390,0.5205468373248987,963,390
965,1078,0.7535209402225373,965,1078
966,409,0.455143210453642,966,409
967,941,0.6721655450370821,967,941
969,770,0.9038123494474604,969,770
972,1123,1.3054688947950108,972,1123
973,767,0.5091422339052809,973,767
978,2,1.3579667689285617,978,2
980,59,1.3441846666151354,980,59
987,39,0.4937874947616016,987,39
990,257,1.1351654596346126,990,257
991,1085,1.0876074792238948,991,1085
995,602,1.2838049732421892,995,602
997,411,1.1484486123642084,997,411
998,370,1.4887521344875783,998,370
1003,535,1.1206786962529118,1003,535
1005,513,1.4381977432368176,1005,513
1007,930,0.1525365392288087,1007,930
1008,1037,0.7579429272280184,1008,1037
1009,138,1.4517137613331939,1009,138
1011,822,1.2420576283043416,1011,822
1012,92,0.702504674606794,1012,92
1013,381,1.2291594858174049,1013,381
1018,163,1.407740242893809,1018,163
1019,156,0.7851590368047154,1019,156
1021,53,0.8439570215732805,1021,53
1031,1055,0.8563406097826312,1031,1055
1034,600,0.8879401388183767,1034,600
1037,503,0.6754780976081486,1037,503
1039,435,1.1010486314918428,1039,435
1040,83,1.2022152818125125,1040,83
1041,242,1.454815997064406,1041,242
1043,531,1.2942267551033155,1043,531
1046,919,1.1220986219083255,1046,919
1051,57,1.4219790813694786,1051,57
1052,1103,0.9208912984925572,1052,1103
1054,536,1.4947715500804033,1054,536
1055,1111,1.066311907255743,1055,1111
1058,829,1.3040998648007605,1058,829
